470,I Really Hate My Job,Cristine Blayney,238399702-1
471,Bikini Summer,Sansone Wharmby,099388589-6
472,Manic,Garey Messier,397103597-3
473,"Messenger: The Story of Joan of Arc, The",Mathe Shrimptone,956574038-3
474,Sokkotanssi,Flory Andersch,320402597-7
475,Albatross,Dermot Maben,516041645-5
476,No Regrets for Our Youth (Waga seishun ni kuinashi),Gibbie Greenaway,972355692-8
477,Bravo Two Zero ,Goldarina Leteurtre,469370389-3
478,"Bruno (Dress Code, The)",Kailey Trail,368178382-9
479,"Cat in the Hat, The",Gabriellia Dundon,866813695-X
480,Barfi!,Fonsie Ledeker,267930150-1
481,Fading Gigolo,Lianne Hrycek,827742166-4
482,Butterflies Are Free,Jacklin Dory,409584444-2
483,Sordid Lives,Shannen Sutherley,699789396-1
484,Blutzbrüdaz,Patience Pepineaux,953602953-7
485,Faster,Norene De la Zenne,059909509-1
486,The End of the Tour,Rollins Lamps,257305797-6
487,Gamera vs. Viras ,Yelena Fenlon,993434149-2
488,Outsider,Jacquie Rhubottom,498189766-9
489,Santos,Raviv Durden,146323081-8
490,Everything,Loretta Ardley,503269757-5
491,House of Wax,Benedikt Harrell,294208625-4
492,One Deadly Summer (L'été meurtrier),Hagan Hedgecock,791416119-5
493,"Gun in Betty Lou's Handbag, The",Juanita Couldwell,098520285-8
494,Paranormal Activity: The Marked Ones,Bo Heijne,957789307-4
495,Immensee,Annie Sargood,328896728-6
496,Kolka Cool,Arabel Wittier,117126378-3
497,"Walk in the Sun, A",Gilbert Shorte,721519596-1
498,Exorcismus,Victor Duddell,306732524-9
499,Red Dawn,Brig Leicester,362947415-2
500,Once Upon a Crime...,Layne Hunnaball,569716726-1
501,Cheetah,Barney Das,535678870-3
502,"Last American Virgin, The",Constancia Tour,672929559-7
503,Exit Through the Gift Shop,Solly Schimaschke,034307300-5
504,Bedazzled,Caleb Gullivent,912537188-6
505,"Rocketeer, The",Bronny Kann,066471087-5
506,Parisian Love,Jemmy Bisset,637948545-7
507,Hallam Foe (Mister Foe),Falito Sibun,341838401-3
508,Hardcover,Tadd Allmann,349050170-5
509,"Awful Dr. Orlof, The (Gritos en la Noche)",Belvia Canepe,685972407-2
510,King of Germany,Trev Farington,977209106-2
511,Madame Bovary,Bernie Bennet,368729548-6
512,Dollman vs. Demonic Toys,Olivia Rubinow,498345495-0
513,"Twice Upon a Yesterday (a.k.a. Man with Rain in His Shoes, The)",Errol Pitkeathley,238386943-0
514,After Office Hours,Yancey Paolone,238658811-4
515,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone),Emyle Atkins,153429734-0
516,When Darkness Falls (När mörkret faller),Kristan Gallamore,110617089-X
517,R.I.P.D.,Haily Gasparro,716612344-3
518,Dangerous Minds,Christye Kolodziejski,978466989-7
519,Z Channel: A Magnificent Obsession,Jacintha Duffin,435362197-1
520,Unforgotten: Twenty-Five Years After Willowbrook,Derrick Scatcher,651967143-6
521,"Angel at My Table, An",Kelvin Powton,153407683-2
522,Cheech & Chong's Nice Dreams,Steven Marvelley,280220736-9
523,"Sugar Curtain, The (El telón de azúcar)",Mead Breadon,105468589-4
524,3:10 to Yuma,Chane Whenham,321293433-6
525,"Original Kings of Comedy, The",Tomlin Heighton,631672329-6
526,Urban Ghost Story,Rickie Quimby,939099302-4
527,Albuquerque,Jo-anne MacLennan,870859113-X
528,Six Pack,Brandy Dommerque,008658608-4
529,Kung Fu Panda: Secrets of the Furious Five,Abbe Turnock,777803081-0
530,"Carry On, Constable",Kearney Lorait,809468535-2
531,Comanche Moon,Kathleen Haberjam,830281858-5
532,Aurora Borealis,Vernor Clough,606084087-6
533,King Rat,Efrem Auguste,398312418-6
534,"'Human' Factor, The (Human Factor, The)",Nelson Gatesman,910883025-8
535,Surviving Picasso,Auberon Yablsley,570293999-9
536,Vlad,Fran De'Vere - Hunt,584535619-9
537,Six in Paris (Paris vu par...),Keelia Murrigans,347297885-6
538,Addams Family Values,Waldemar MacGall,734242977-5
539,Comedy of Innocence (Comédie de l'innocence),Vita Starkey,559528002-6
540,"Great Day in Harlem, A",Mano Ohm,465212200-4
541,Style Wars,Domini Kew,057635904-1
542,"Atomic Cafe, The",Debbie Kelsow,465087198-0
543,"Girl Next Door, The",Terra Defont,744414635-7
544,The Squeeze,Shani Hutchings,394457541-5
545,Immortals,Benedict Kubista,068026154-0
546,Beethoven's 3rd,Eben Shuttlewood,776643729-5
547,Karthik Calling Karthik,Elberta Timlin,735031289-X
548,"Miss and the Doctors (Tirez la langue, mademoiselle)",Remington Greenrodd,753387227-4
549,Rabbit Without Ears (Keinohrhasen),Morganica Latliff,992974681-1
550,"Godzilla 1985: The Legend Is Reborn (Gojira) (Godzilla) (Return of Godzilla, The)",Bernette Gateshill,119006846-X
551,"Count Dracula (Nachts, wenn Dracula erwacht)",Whitman Darrington,203006251-0
552,Thoroughly Modern Millie,Matthiew Salvage,072830288-8
553,"Silence, The (Das letzte Schweigen)",Earl Gleasane,780760800-5
554,Lupin III: The Castle Of Cagliostro (Rupan sansei: Kariosutoro no shiro),Bendick Scarisbrick,710851959-3
555,Necessary Roughness,Israel Bacup,497439299-9
556,"Hidden Fortress, The (Kakushi-toride no san-akunin)",Louis Bisacre,701933498-9
557,Follow the Bitch,Skye Paxman,789389356-7
558,Fake It So Real,Delmar McKenney,455454028-6
559,Winter Nomads,Audy Drakeley,579999538-4
560,Major Payne,Berkley Cosh,574132647-1
561,"Little Rascals, The",Roxine Clyde,949941154-2
562,"Horseman on the Roof, The (Hussard sur le toit, Le)",Roderich Mayhow,385777494-0
563,"George Lopez: Tall, Dark & Chicano",Gideon Casero,411100665-5
564,Single White Female,Spense Low,823001391-8
565,7 Days (Les 7 jours du talion),Adan Kinchlea,582737594-2
566,Captive Women (1000 Years from Now) (3000 A.D.),Woodrow Broadnicke,333528202-7
567,Night on Earth,Tallulah Elvins,636786156-4
568,Blackrock,Armstrong Kimbly,982647658-7
569,"Conformist, The (Conformista, Il)",Gussy Wilce,155256293-X
570,"Gatekeepers, The",Raphaela Strathdee,177432714-7
571,Quills,Cymbre Davies,024148097-3
572,Grumpy Old Men,Mikaela Brosini,104537743-0
573,Mediterraneo,Tibold Palphreyman,375594807-9
574,Trumbo,Zerk Mantione,545408968-0
575,Blue State,Moyra Androletti,667396517-7
576,"Prince and the Pauper, The",Kearney Gallaccio,654067971-8
577,Awakenings,Tome Osband,161845975-9
578,"Broadway Melody, The",Geoffrey Garmon,181019832-1
579,Volunteers,Anallise Stapleton,477808414-4
580,Pirates of Silicon Valley,Neal Oselton,820174135-8
581,"Cruise, The",Kassia Lowdwell,849574298-5
582,"Lawless Frontier, The",Humfried Serotsky,024844221-X
583,Snowbeast,Alexis Christiensen,739673087-2
584,In Which We Serve,Elysia Tort,114335476-1
585,Chuck & Buck,Stace Jira,612157000-8
586,Nadine,Abigale Lipmann,451751045-X
587,Lost in Beijing (Ping guo),Kate Peotz,019500650-X
588,"Statue of Liberty, The",Latisha Dahl,970290970-8
589,Triage,Guillaume Micklem,967836810-2
590,Treeless Mountain,Cherye Gornall,193164681-3
591,Perkele! Kuvia Suomesta,Lotty Yukhnevich,579726123-5
592,"Gorgon, The",Dewie Hawkswell,339889530-1
593,Beneath Hill 60,Killie O'Sharkey,938492438-5
594,Wonder Bar,Gael Jakeway,630779333-3
595,"Boys Are Back, The",Lorena Willsmore,223670003-2
596,Can't Hardly Wait,Teodor Lello,029845168-9
597,Yamakasi - Les samouraïs des temps modernes,Coriss Treat,728363787-7
598,Rough Night in Jericho,Melva Rusbridge,443598105-X
599,Love and Death,Micki Wallsworth,556476662-8
600,Rolling,Cally Thebes,071180652-7
601,Kevin Hart: Let Me Explain,Claudell Luparto,596345728-9
602,Deception,Ursala Coviello,673553384-4
603,Daayen Ya Baayen,Hanni Franchi,707654660-4
604,Summer and Smoke,Jarid Pyffe,322369755-1
605,Manhattan Murder Mystery,Roscoe Carabet,099697602-7
606,Gangs of New York,Jan Scalia,465373680-4
607,Grind,Bran Duddell,314278003-3
608,"Snow Walker, The",Parker Voisey,864086655-4
609,"Red Squirrel, The (Ardilla roja, La)",Wat Channing,690978566-5
610,The Radio Pirates,Aurora Grammer,611812887-1
611,Masterminds,Inna Baggiani,588527228-X
612,Commune,Robenia Rubke,667400331-X
613,Enquiring Minds: The Untold Story of the Man Behind the National Enquirer,Mureil Merrgan,624356361-8
614,Anchorman: The Legend of Ron Burgundy,Moe Ewence,379717349-0
615,"Lebanon, Pa.",Babb Loxston,788423254-5
616,Time of Eve (Eve no jikan),Washington Raine,456502477-2
617,"Cutting Edge, The",Cori Casemore,844835963-1
618,Fuck Up,Jocelin McCaskill,557218301-6
619,Macbeth,Nickolas Chmarny,785406755-4
620,Wyvern,Roderick Goggins,105165533-1
621,Lust for Gold,Mattias Agiolfinger,735200740-7
622,Marvin's Room,Ester Flacknoe,763314438-6
623,Selma,Odelinda Horry,636572788-7
624,ATL,Christy Batchelar,286178861-5
625,We Need a Vacation (Fais-moi des vacances),Kameko Shilston,104095389-1
626,Sheena,Skippy Viveash,173873662-8
627,Once Upon a Warrior (Anaganaga O Dheerudu),Malinda Iacopo,574610383-7
628,Four Horsemen,Hale Joselovitch,103474156-X
629,All the President's Men,Aloysia Camplin,564543087-5
630,Assisted Living,Dorothy Blasdale,998815826-2
631,The Hunting Ground,Georgeta Lankham,997880400-5
632,Hava Nagila: The Movie,Shaylynn Follos,028093302-9
633,"Dark Angel, The",Andy Wallsam,909828802-2
634,23 Paces to Baker Street,Yolanthe Yoskowitz,875571634-2
635,Charlie Chan in Dangerous Money,Pauletta Furneaux,254614338-7
636,The Fearless Four,Zolly Menhenitt,292492077-9
637,"Ring, The",Adena Haxbie,610107831-0
638,They Call Me Mister Tibbs!,Farand Knowlton,695222496-3
639,Melissa P.,Griswold Lomond,706795360-X
640,Chop Shop,Dario Anfrey,864466054-3
641,Frenchman's Creek,Norton Frill,785966966-8
642,Advantageous,Tessa Crockett,085869311-9
643,"Criminal Code, The",Mac Pesek,301339846-9
644,Kummelin jackpot,Dion Lawn,222725520-X
645,Griff the Invisible,Bernhard Dobinson,844067097-4
646,America the Beautiful 2: The Thin Commandments ,Bent O'Fogarty,069356030-4
647,Ship of Fools,Oona Ovise,493086523-9
648,"Chorus, The (Hamsarayan)",Charita Berling,649251945-0
649,"Ten, The",Willem Hannabus,811733880-7
650,"Little Engine That Could, The",Terri Corrin,438608312-X
651,Greaser's Palace,Collette Chadburn,834438473-7
652,New World (Shin-sae-gye),Tammara Satchel,289248064-7
653,Catwalk,Bryn Ferroli,420243695-4
654,"Maid, The (Nana, La)",Giulio Bolstridge,762750452-X
655,Human Capital (Il capitale umano),Ricard Ruler,246184415-1
656,Emma,Terrye Jerrom,572223371-4
657,Formosa Betrayed,Dot Gladwish,112032328-2
658,"Weather Man, The",Robbert Dainton,119739977-1
659,Children of the Corn II: The Final Sacrifice,Ripley Spittall,433521052-3
660,Debtocracy,Celinka Curedell,230814770-9
661,Women Without Men (Zanan-e bedun-e mardan),Huberto Laight,690882006-8
662,Princess (Prinsessa),Carlos Rowlstone,391399572-2
663,"Girl Next Door, The",Manon Bean,461963938-9
664,Dabangg 2,Daron Ealam,133650413-7
665,Thale,Lorry Stearns,073040234-7
666,Manon of the Spring (Manon des sources),Deny Haswell,884349284-5
667,Karlsson Brothers (Bröderna Karlsson),Godfry Sheryne,106888165-8
668,Prowl,Maridel Downage,243576959-8
669,Wetherby,Eilis Kopisch,765371709-8
670,The Great Gatsby,Ola Jodrelle,082425449-X
671,Fifty Pills,Shae Laughlan,830713385-8
672,Follow the Fleet,Ray Skipping,344145883-4
673,"Girl Who Played with Fire, The (Flickan som lekte med elden)",Gunar Camsey,047094853-1
674,That Darn Cat!,Betsey Greenset,772239189-3
675,Summertime,Meryl Dedmam,174773845-X
676,Lemony Snicket's A Series of Unfortunate Events,Lazarus Jodrelle,911931535-X
677,Tokyo Drifter (Tôkyô nagaremono),Marne Zorer,885143156-6
678,Alien³ (a.k.a. Alien 3),Marybelle Keveren,450522779-0
679,Such Is Life (Así es la vida...),Ronni Spraggon,011842787-3
680,Blonde Venus,Mathias Greetham,502948631-3
681,"Company Men, The",Shamus Hugland,741007579-1
682,Hitler's Stealth Fighter,Geri St. Quintin,767498314-5
683,Into the Storm,Turner Menego,451595949-2
684,Dial 1119,Ingamar Plenderleith,104071894-9
685,Omega Doom,Kirsti Berthe,804737872-4
686,The Old Maid,Row Jeakins,849797781-5
687,Kidnapping Mr. Heineken,Aloisia Dufty,935203134-2
688,Henri-Georges Clouzot's Inferno (L'enfer d'Henri-Georges Clouzot),Micheil Summerskill,478075696-0
689,Portraits Chinois,Corenda Kilpin,526308544-3
690,"Dark Hours, The",Kali Worham,819522108-4
691,Spirits of the Dead,Golda Scuffham,402297974-7
692,Le convoyeur,Beth Shasnan,221574689-0
693,Suburbia,Dwight Carlton,963233275-X
694,War and Peace (Jang Aur Aman),Reinald Gilley,936011508-8
695,Above the Rim,Arlyne Silverwood,044237335-X
696,Mumblecore,Corabel Strelitzer,052624025-3
697,Lethal Weapon 2,Wainwright Croce,696521014-1
698,Eros (Men and Women) (Noite Vazia),Nat Spurier,202237934-9
699,Makai Tensho: Samurai Reincarnation (Makai tenshô),Juliana Kubicek,288420108-4
700,"Last Bolshevik, The (Tombeau d'Alexandre, Le)",Flora Duham,540240295-7
701,Between Heaven and Hell,Paxton Matzke,652554299-5
702,"Haunted World of El Superbeasto, The",Orsa Crotty,933149910-8
703,"War Room, The",Axe Wigfall,005070206-8
704,For Ever Mozart,Spenser Gration,247877295-7
705,Gold Raiders,Sholom Piniur,343302812-5
706,"Golden Coach, The (Le carrosse d'or)",Kirstin Tillard,281514076-4
707,Centennial,Iggie Bernhard,257772031-9
708,Yu-Gi-Oh!: Bonds Beyond Time (Gekijouban Yuugiou: Chouyuugou! Jikuu o koeta kizuna),Jamill Kroger,979950395-7
709,"Rugrats Movie, The",Janaye Helleckas,287870491-6
710,Mother (Madeo),Belle Ambrogiotti,520121701-X
711,Doughboys,Brion Simmings,680489073-6
712,MURDER and murder,Joelie Neylan,050494214-X
713,Snow White (Blancanieves),Ben Laise,674344918-0
714,Eye See You (D-Tox),Mal Linstead,864377251-8
715,Emergency Squad,Merell Lucey,140283068-8
716,Run Fatboy Run,Colin Axton,972083862-0
717,"Razor's Edge, The",Kayley Gierck,454493614-4
718,"Farewell to Arms, A",Cosette Muffett,434602172-7
719,Heartbeats (Kohtaamisia),Germain Asbrey,967408309-X
720,"Italian Job, The",Jacquelynn Seaborn,792611739-0
721,Two Ninas,Jaine Hamelyn,886235950-0
722,Dog Soldiers,Terry Rojel,841176973-9
723,"Sweet Jesus, Preacherman",Evin Jellman,049381911-8
724,Homicidal,Gloria Scotchbourouge,907413758-X
725,The Rag Man,Drake Jachimak,932937223-6
726,Canvas,Bobbie Reavell,262809882-2
727,Twilight of the Ice Nymphs,Raddy Emney,738783391-5
728,Senseless,Rhetta Sherington,049414472-6
729,Night Across the Street (La noche de enfrente),Shel Stockle,258278056-1
730,"Classe Tous Risques (Big Risk, The)",Jena Lankford,881949329-2
731,What Time Is It There? (Ni neibian jidian),Jake Dewen,935101172-0
732,How to Be a Serial Killer,Philly Fearey,569975478-4
733,Blade of the Ripper,Costanza Peploe,677962361-X
734,"Devil's Rejects, The",Mendel Reyne,787434177-5
735,Rosario Tijeras,Meggie Duffett,255218431-6
736,Today You Die,Ingmar de Clerk,928928987-2
737,"Trip to Mars, A",Coral Everest,026103888-5
738,"Superweib, Das",Fred Padginton,390059854-1
739,How to Lose Friends & Alienate People,Buddy Carrack,249008123-3
740,You and Me,Filip Belsham,994256101-3
741,Envy (Kiskanmak),Margaretha Tows,955425044-4
742,Blind Mountain (Mang shan),Tim Matsell,919261133-8
743,Crime and Punishment,Leah Schops,351677518-1
744,Punk in London,Chrissy Pardy,680929749-9
745,"Keys to the House, The (Chiavi di casa, Le)",Pearle Whitney,907853209-2
746,Up Periscope,Daffi Rodders,361446143-2
747,Stealing Beauty,Mil Borres,790800952-2
748,The Black Rose,Euphemia Spikeings,913556594-2
749,"Decade Under the Influence, A",Finlay Twaits,385391576-0
750,Negative Happy Chainsaw Edge (Negatibu happî chênsô ejji),Emalia Kerss,290997411-1
751,Valdez Is Coming,Geraldine Chuney,621473953-3
752,Angel Face,Zachariah Sabater,060835002-8
753,Thurgood,Kennie Cordero,457941894-8
754,Diary of a Lost Girl (Tagebuch einer Verlorenen),Shanda Messam,593773266-9
755,"Dead Outside, The",Darren Walworth,019654535-8
756,Rampage at Apache Wells,Midge Georghiou,277712689-5
757,"Gambler, The (Játékos, A)",Gwenny Harrill,163652354-4
758,"Oklahoma Kid, The",Hayward Girkins,099126527-0
759,"ChubbChubbs!, The",Niall Holston,952462151-7
760,Oasis,Wynny Challenor,327631798-2
761,"Myth of the American Sleepover, The",Brittni Treagust,107845299-7
762,Zatoichi at Large (Zatôichi goyô-tabi) (Zatôichi 23),Velvet Coushe,923979894-3
763,Go Figure (Va savoir),Joaquin Stair,871762201-8
764,Rush,Frederica Orgen,719963103-0
765,Appleseed Alpha,Frederica Tuxwell,976484074-4
766,It's a Bikini World,Mae Scahill,775158421-1
767,Shadow People,Marcelle Featherstonhaugh,652676830-X
768,Dark Star,Chev Van den Hof,781169153-1
769,Loose Change 9/11: An American Coup,Adam Adamovitch,960584344-7
770,Princesas,Emery Vonasek,573601583-8
771,"Recruiter, The",Yankee Kolis,226969922-X
772,Extraterrestrial,Janie Brouard,141538398-7
773,"Foreign Affair, A",Roselin McCambridge,494331621-2
774,Year One,Grenville Rawe,581001132-2
775,G.I. Joe: Operation Dragonfire,Miller Dunsleve,784557086-9
776,"Funeral, The (Ososhiki)",Kriste Trubshawe,516889358-9
777,Quartet,Rocky Ingledew,497057305-0
778,In the Name of the King III,Jecho O'Spellissey,914138604-3
779,Westfront 1918,Vida Wasteney,277366884-7
780,Daddy Day Care,Wilma Berrington,532806201-9
781,Tenderness,Romonda Letch,036802016-9
782,Elektra,Gerry Fewell,959588671-8
783,"American Crime, An",Loni Fealy,934946416-0
784,"Good Guy, The",Tate Willett,305708725-6
785,"Generale Della Rovere, Il",Carolin Nealon,136700439-X
786,Alien from L.A.,Magdaia Stoffers,223648144-6
787,Anna Karenina,Rosalinda Bidder,173827263-X
788,Still Alice,Lily Tackell,775634606-8
789,Hilton!,Annabelle Tinklin,595745921-6
790,Curse of Chucky (Child's Play 6),Pris Rigmand,278726968-0
791,"Friends at the Margherita Cafe, The (Gli amici del bar Margherita)",Ania Messenger,243314599-6
792,976-EVIL II,Mickie Skeldon,723710627-9
793,Clash of the Wolves,Marleah Elcoux,609643406-1
794,Carousel,Cher Wyldbore,880378445-4
795,Fast Food,Laina Longthorn,576095610-8
796,Buck Privates,Willa Devereu,389496081-7
797,"Road, The",Berrie Elsdon,267866137-7
798,Standing Up,Emlyn Yakov,510802693-5
799,"Lincoln Lawyer, The",Kim Benedit,334252253-4
800,Moving Alan,Vale Bossingham,956235589-6
801,Not Here to Be Loved (Je ne suis pas là pour être aimé),Karney Kiehl,884072752-3
802,Sword of the Valiant,Gaylord Josephi,777937197-2
803,Gamera vs. Barugon,Piotr Lockyer,416354316-3
804,Dark Days,Abeu Labbe,393412942-0
805,Humoresque,Reeba Yeo,149733852-2
806,Star Wars: Episode VI - Return of the Jedi,Karlotta Ellery,792739596-3
807,Morituri,Midge Blenkinsopp,895879382-1
808,Every Man for Himself (Slow Motion) (Sauve qui peut (la vie)),Dorine Waszczykowski,453189230-5
809,High and Dizzy,Parry Larmouth,240495876-3
810,Magic Mike,Jeannette Reynoollds,556048457-1
811,Svidd Neger,Karlee Barens,214583589-X
812,Faust,Koral Lanfare,200517095-X
813,3 Backyards,Mellisent Fawcitt,094739299-8
814,"Reckoning, The",Winn Blaber,010606801-6
815,"Rites of May, The (Itim) ",Allen Murcott,775716614-4
816,Metalstorm: The Destruction of Jared-Syn,Jon Lunge,875771139-9
817,Prelude to a Kiss,Lorenza M'Chirrie,684603543-5
818,"Movie, A",Othilia Whitters,303377188-2
819,I giorni contati,Waldemar Chishull,671808631-2
820,Colour Me Kubrick: A True...ish Story,Neale Alaway,795573586-2
821,Orwell Rolls in His Grave,Nicola Hagger,392139306-X
822,"Vampir (Cuadecuc, vampir)",Alejandrina Schulze,043869914-9
823,Little Lord Fauntleroy,Federico Kitchinghan,691300852-X
824,28 Up,Tymon Follis,413007691-4
825,"Shadow Dancer, The (Shadows in the Sun)",Waneta Iddy,517470813-5
826,Deception,Thea Shanley,087798420-4
827,Penny Serenade,Garrik Spradbrow,807730661-6
828,"Fantastic Planet, The (Planète sauvage, La)",Fitzgerald Rounding,961741860-6
829,Underworld,Lissy Esposi,143795670-X
830,"Institute Benjamenta, or This Dream People Call Human Life",Gail McConaghy,000236208-2
831,Manuel on the Island of Wonders (Manoel dans l'île des merveilles),Obed Darthe,832240837-4
832,Asterix and Cleopatra (Astérix et Cléopâtre),Ginny Crocombe,082952365-0
833,"Searchers, The",Vivian O'Sherin,635597237-4
834,White Chicks,Geoffrey Snedden,323732408-6
835,A Pistol For Ringo,Tabby Arlett,429644082-9
836,Band of Brothers,Dare Ping,987269914-3
837,"Prey, The (La proie)",Dagny Greeves,205672562-2
838,Bring on the Night,Mendie Ridpath,008263837-3
839,Nick and Norah's Infinite Playlist,Valdemar Attkins,541271712-8
840,"Construction, The (En construcción)",Grantley Kabisch,797380919-8
841,Doubt,Janaye MacKibbon,393911824-9
842,Opposing Force,Salem Smithson,014837568-5
843,"Me, Myself & Irene",Ebonee Snaddin,947292746-7
844,"Puff, Puff, Pass",Izak Olivia,476503922-6
845,"Hijacking Catastrophe: 9/11, Fear & the Selling of American Empire",Bambie Footitt,417767046-4
846,Don't Go In the Woods,Brynne Muir,794188939-0
847,"Cabinet of Dr. Ramirez, The",Win Pringle,221235291-3
848,"Raven, The",Yettie Booeln,233468860-6
849,Tangerines,Skye Ionesco,160247253-X
850,Amigo,Em Fayer,339469769-6
851,First Name: Carmen (Prénom Carmen),Amalie Oger,576740127-6
852,Blind Chance (Przypadek),Joel Hadley,363855989-0
853,Sweet Movie,Nathanil Cogswell,927867953-4
854,"Devil Came on Horseback, The",Malina Semor,727178738-0
855,Me and you (io e te),Dede Sawney,774603751-8
856,Following,Tanhya Simonetti,131282297-X
857,Reaching for the Moon,Kira Elder,963098293-5
858,"Asphalt Jungle, The",Morris Dollin,529357863-4
859,Mike's New Car,Neville Armal,445194563-1
860,In the Basement,Hermione Mundy,797191273-0
861,"Cave of the Yellow Dog, The",Hollyanne Benam,989071948-7
862,Peas at 5:30 (Erbsen auf halb 6),Katey Bielefeld,144185909-8
863,Ninja Cheerleaders,Lester Tilston,353507962-4
864,The Substitute 4: Failure Is Not an Option,Candie Rove,625387589-2
865,Gone Fishin',Sascha Lockery,023390187-6
866,Goldfish Memory,Emelyne Pelchat,185686916-4
867,Stopped on Track,Ettie Woodall,589251562-1
868,Exorcismus,Ermanno Arnett,814462755-5
869,Beyond the Forest,Nichols Sheilds,601187073-2
870,Fire and Ice,Romona Mosby,986889215-5
871,Polyester,Grady Jakoubek,758104031-3
872,"Solid Gold Cadillac, The",Pennie Follen,729361270-2
873,Oedipus Rex (Edipo re),Toddy Machin,417403657-8
874,Divorce - Italian Style (Divorzio all'italiana),Emmaline Haibel,212314007-4
875,The Cop in Blue Jeans,Elsy Bubeer,893657599-6
876,Detour ,Lisbeth Finneran,604936668-3
877,Party Girl,Ariella MacArdle,505310984-2
878,Adrift (À Deriva),Brandtr McNysche,955162397-5
879,Your Life in 65 (Tu vida en 65'),Linnie Gatty,951555278-8
880,"Red Balloon, The (Ballon rouge, Le)",Gottfried Caghan,084095084-5
881,"Count Dracula (Nachts, wenn Dracula erwacht)",Haven MacPaike,137978401-8
882,Ball of Fire,Jeromy Bastin,443011099-9
883,"Code, The (Mentale, La)",Rolland Rusling,682832694-6
884,Joffrey: Mavericks of American Dance,Emmery Coggen,050202925-0
885,Viper in the Fist,Kennie Halsted,579728460-X
886,Dark Night of the Scarecrow,Merle Gitting,516154352-3
887,Control (Kontroll),Cletis Bouldon,934397804-9
888,School of Rock,Katuscha Broomhead,170249182-X
889,House on Haunted Hill,Patience Basset,491737270-4
890,"Neon Bible, The",Sutherland Aulsford,977843161-2
891,Sam Peckinpah: Man of Iron,Robbie Paskerful,248481853-X
892,War of the Robots (La guerra dei robot),Tracie Proffer,880295392-9
893,"Nativity Story, The",Jason Casbon,890858012-3
894,"Good Year, A",Winnie Travers,957183085-2
895,Morons From Outer Space,Milli Kaines,444897996-2
896,"Matrix Revolutions, The",Garrard Akess,187214037-8
897,Professor Beware,Beck Petrulis,753977652-8
898,One in the Chamber,Dalis Rosedale,397824795-X
899,King Kong,Addie Ackerley,790856361-9
900,Portrait Werner Herzog,Mead Pidgin,938293322-0
901,Doctor Dolittle,Shayne MacCostigan,608352605-1
902,To Sleep with Anger,Colette Bewley,295380759-4
903,Saint Joan,Rosana Cops,123655332-2
904,Rififi (Du rififi chez les hommes),Lenore Penwell,804712948-1
905,Life On A String (Bian chang Bian Zou),Gerome Kornyakov,225410914-6
906,Walk on Water,Padraig Zold,372930635-9
907,Cobra,Lezlie Toffolo,121960010-5
908,Wrestling (Bræðrabylta),Roosevelt Eddison,193361926-0
909,"Secret of Roan Inish, The",Arliene Bartoszewicz,274893168-8
910,Night on Earth,Sileas Knott,726964890-5
911,"Last Exorcism, The",Romeo Willoughey,015806549-2
912,"Year of the Wolf, The (Suden vuosi)",Roddie Malby,675633431-X
913,Winter of Discontent,Piotr Vankov,298483139-X
914,Franz Kafka's a Country Doctor,Garey Drysdale,400864035-5
915,"Campaign, The",Cacilie Nehl,612734398-4
916,Angels Over Broadway,Danny Buzine,988477476-5
917,Bebe's Kids,Nicolais Chappelow,607573904-1
918,Lightning Bolt: The Power of Salad,Benetta Jennings,356686606-7
919,Het Vonnis,Roberta Rawlcliffe,991706580-6
920,Skyline,Nonna Jaquiss,935897033-2
921,Broderskab (Brotherhood),Jaquenette Bloor,186256876-6
922,Secretariat,Liza Champagne,319355765-X
923,Tyler Perry's Madea's Big Happy Family,Alanna Fairn,785994858-3
924,Inuyasha the Movie: The Castle Beyond the Looking Glass,Averyl Brunon,127104199-5
925,"Sailor Who Fell from Grace with the Sea, The",Catriona Clear,090517252-3
926,Head Games,Ardeen Matisse,747751047-3
927,"Deadly Trackers, The",Valentino Simonsson,746061773-3
928,"Mostly Unfabulous Social Life of Ethan Green, The",Merill Shotboult,165713613-2
929,Henry Fool,Gwyneth Sidebotton,782009818-X
930,Inside Man,Estel Rouke,013086614-8
931,Hum Tumhare Hain Sanam,Cheslie Keyhoe,539832747-X
932,Russian Roulette,Avigdor Pleass,233717998-2
933,"Match Factory Girl, The (Tulitikkutehtaan tyttö)",Anatol Kennea,771622666-5
934,Cowboys & Aliens,Joelie Gunson,040421162-3
935,Connections,Corrianne Beinke,503165125-3
936,Black Beauty,Fernande Macci,167892177-7
937,Barfi!,Giustino Toolan,268218185-6
938,Kansas Raiders,Claiborne Volks,327270920-7
939,"Pretty One, The",Vincenz Laytham,964579547-8
940,Jim Jefferies: I Swear to God,Tilly Barley,518412042-4
941,"Not for or Against (Quite the Contrary) (Ni pour, ni contre (bien au contraire))",Margit Bateson,190046192-7
942,Bananas!*,Pris Ducker,322316994-6
943,According to Spencer,Othello Dunaway,173765014-2
944,Newsfront,Ancell Aris,318133938-5
945,"Bridge, The (Most)",Chance Betz,903166488-X
946,"Flesh Merchant, The (Wild and Wicked, The)",Reinwald Shemelt,177759251-8
947,American Ninja 5,Humberto Younger,626811380-2
948,Canned Dreams (Säilöttyjä unelmia),Riley McFarland,445103710-7
